Paper_ID,Title,Year,Category,Research_Problem,Methodology,Dataset,Results,Key_Findings,Limitations,Future_Work,Research_Gap,PreFlight_Relevance,Priority
P11,Prompt Injection Attacks Against GPT-3: Early Empirical Study,2022,PI,Can malicious instructions embedded in user content override LLM system prompts?,Early empirical study; adversarial prompt construction; real GPT-3 application testing,Real GPT-3-powered applications,Successful override of system prompt instructions in multiple real applications,LLMs lack formal instruction-data separation; injection is a fundamental architectural vulnerability,Informal; pre-benchmarking era; no defense evaluation,Formal threat models; training-based defenses,Earliest identified gap: no permission-aware context for injection impact assessment,Foundational reference for PreFlight's injection attack motivation section,Tier 3
P12,Tensor Trust: Interpretable Prompt Injection Attacks from an Online Game,2023,PI,"What makes prompt injection attacks interpretable and effective, as revealed by human gameplay data?","Online game data collection; 126,000+ attack-defense prompt pairs; human attacker strategies",Tensor Trust online game dataset (126K+ prompt pairs),"Human attackers find diverse, interpretable strategies; injection complexity varies widely",Injection strategies are highly diverse; simple defenses fail against creative human attackers,Game setting not representative of real-world LLM deployments,Transfer learning from game strategies to real attacks; defense generalization,Gap: no analysis of how tool permissions modulate attack success,Informs PreFlight's adversary strategy library for dynamic simulation,Tier 2
P13,Ignore This Title and HackAPrompt: Exposing Systemic Vulnerabilities of LLMs via a Global Prompt Hacking Competition,2023,PI,What systemic vulnerabilities do LLMs exhibit under adversarial prompt hacking at scale?,"Competition-based study; 600,000+ adversarial prompts; 7 prompt hacking strategies identified","HackAPrompt competition dataset (600,000+ prompts across GPT-3.5, ChatGPT, FLAN-T5)",All tested models are vulnerable; 7 systematic attack strategies identified; jailbreaks scale,Prompt hacking is systematic and reproducible; no model is reliably safe,Competition setting may overfit to specific model versions; limited ecological validity,Longitudinal tracking of model vulnerability; automated red-teaming with competition strategies,Gap: competition does not model tool-permission surface or agentic context,Attack strategy taxonomy informs PreFlight's red-team prompt library,Tier 2
P14,SecGPT: An Execution Isolation Architecture for LLM-Based Systems,2024,TP,Can execution isolation between LLM components prevent prompt injection and privilege escalation?,Architecture design; spoke-hub isolation model; per-app sandboxing; empirical attack resistance testing,Custom synthetic multi-app LLM environment,Isolation prevents cross-app injection; preserves utility; reduces attack surface,Execution isolation is highly effective; hub-spoke model prevents lateral injection movement,High latency overhead; limited to same-host deployments; no MCP-specific evaluation,MCP-aware isolation; cross-server trust enforcement; formal security proofs,Gap: isolation architecture not mapped to MCP server/tool permission graphs,Directly informs PreFlight's isolation recommendation for MCP server deployments,Tier 1
P15,Not Everything is Dark: Dual-Use Analysis of LLMs in Security,2024,AIS,What are the dual-use risks and benefits of LLMs in cybersecurity applications?,Systematic review; case study analysis; dual-use framework; red-team/blue-team capability assessment,N/A (review + case studies),LLMs enhance both attacker and defender capabilities; dual-use risk is significant,LLMs lower the bar for attack automation; defenders benefit from AI-assisted threat detection,Lacks empirical measurements of dual-use impact; no controlled experiments,Formal dual-use risk metrics; policy frameworks for responsible LLM deployment in security,Gap: no analysis of LLM-driven attack automation in permission-constrained agentic contexts,Background for PreFlight's adversary capability modeling in dynamic simulation,Tier 3
P16,AI Safety via Debate,2019,AIS,Can AI systems be made safer through structured debate between AI agents?,Theoretical debate protocol; MNIST judge experiment; scalable oversight framework,MNIST debate (limited empirical validation),Debate can elicit honest responses; scalable oversight is theoretically grounded,Debate protocol has theoretical safety guarantees; difficult to scale to complex tasks,Limited empirical scope; debate manipulability not fully addressed,Debate in complex reasoning tasks; adversarial agent evaluation; multi-agent debate robustness,Gap: no connection to tool-permission-aware safety mechanisms,Theoretical background for PreFlight's multi-agent red-team simulation design,Tier 3
P17,Constitutional AI: Harmlessness from AI Feedback,2022,AIS,Can AI systems learn to be harmless using AI-generated feedback rather than human labels?,RLHF with AI-generated feedback; constitutional principles; iterative refinement; SL-CAI and RL-CAI,Internally generated Anthropic feedback dataset,CAI models score comparably to RLHF on harmlessness; reduced reliance on human labeling,AI feedback is a scalable substitute for human harmlessness labeling; principles generalize well,Principles may be gamed by adversarial inputs; limited to harmlessness dimension,Constitutional approaches for robustness to injection; principles for tool-use safety,Gap: constitutional principles not applied to tool-permission governance,Background on AI safety methodology relevant to PreFlight's permission policy design,Tier 3
P18,Tool Permission Optimization for LLM Agents in Agentic Settings,2025,TP,How can tool permissions be dynamically optimized to minimize security risk while preserving agent utility?,Permission optimization framework; static analysis + dynamic simulation; risk-utility Pareto analysis,Synthetic agent deployment scenarios with variable tool permission sets,Dynamic permission reduction reduces attack surface by ~40% with <5% utility degradation,Least-privilege assignment is achievable with automated analysis; utility-security trade-off is manageable,Limited to single-agent scenarios; no multi-server permission interaction analysis,Multi-agent permission optimization; MCP-compatible permission manifests,Gap: no permission graph traversal for cross-tool attack path discovery,Core reference for PreFlight's permission graph model and least-privilege recommendation engine,Tier 1
P19,Backdoor Attacks on AI Agents: A Comprehensive Survey,2024,AS,"What are the attack vectors, methods, and defenses for backdoor attacks targeting LLM agents?","Survey methodology; taxonomy of backdoor types (query-based, observation-based); defense analysis","Multiple existing backdoor attack datasets (BadAgent, etc.)","Backdoors in agents are diverse, covert, and affect both outputs and reasoning steps",Agent backdoor attacks are fundamentally different from LLM backdoors due to environmental interaction,Survey does not empirically compare all methods; rapidly evolving field,Unified detection frameworks; reasoning-layer defenses; training pipeline integrity,Gap: no analysis of how tool permissions modulate backdoor trigger effectiveness,Background reference for PreFlight's threat model section on supply-chain attacks on MCP tools,Tier 2
P20,AgentSafe: Hierarchical Data Management for Secure Multi-Agent Systems,2024,MAS,Can hierarchical data access control prevent unauthorized information flow in multi-agent LLM systems?,Architecture design; hierarchical data classification; access control enforcement; empirical evaluation,Medical and financial multi-agent test scenarios,AgentSafe reduces unauthorized data access by 82%; maintains >90% task completion,Hierarchical data governance is effective; centralized policy enforcement is key,Limited to structured data domains; no adversarial evaluation of bypass strategies,MCP-compatible hierarchical permissions; dynamic policy update mechanisms,Gap: no graph-based attack path analysis for hierarchical permission bypasses,Informs PreFlight's data sensitivity classification and sink definition modules,Tier 2
P21,Compromising LLM-Integrated Applications with Indirect Prompt Injection (Extended),2024,PI,What is the full attack surface of LLM-integrated applications vulnerable to indirect prompt injection?,Comprehensive empirical attack study; categorized attack scenarios; defense evaluation,"Real-world LLM applications: search assistants, code tools, email clients, browser agents","Multi-modal injection, persistent attacks, CSRF via LLM, data exfiltration demonstrated",Injection attack surface is broader and more severe than previously documented,Limited coverage of tool-calling agentic pipelines; no MCP-specific analysis,MCP-aware injection defenses; formal instruction-data separation protocols,Gap: no mapping of injection vectors to specific tool permission scopes,Critical input to PreFlight's injection scenario taxonomy for dynamic simulation,Tier 1
P22,MCP Security Threat Report: CVE Analysis and Mitigation,2025,MCP,What are the concrete CVEs and exploitable vulnerabilities in Model Context Protocol deployments?,CVE analysis; vulnerability categorization; CVSS scoring; real deployment analysis,"Real MCP server deployments; CVE-2025-53109; CVE-2025-53110; 437,000 affected installations",43% of analyzed MCP servers vulnerable to command injection; CVSS scores 7.3–9.6,"MCP deployments carry severe, exploitable CVEs at scale; no systematic remediation tooling exists",Point-in-time CVE snapshot; may not reflect patched versions; limited deployment diversity,Automated MCP security scanning; continuous CVE monitoring; permission audit tooling,Gap: no automated tool to scan MCP configs for CVE-linked permission vulnerabilities,PreFlight's primary real-world threat motivation; CVE data seeds PreFlight's attack scenario library,Tier 1
P23,MPMA: Preference Manipulation Attack Against Model Context Protocol (AAAI-26),2026,MCP,Can an attacker manipulate LLM tool selection in MCP ecosystems for economic gain via metadata poisoning?,Attack design (DPMA + GAPMA); Genetic Algorithm for stealth optimization; 8 MCP servers; 5 LLMs,"8 MCP servers (weather, time, web search, crypto, etc.); 10 queries per server",DPMA achieves 100% ASR; GAPMA achieves 62–100% ASR with low TPR (<5% suspicion detection),MCP tool selection is manipulable via metadata; stealthy attacks evade LLM and human inspection,Limited to tool-selection stage; no analysis of downstream harm after selection,Defense mechanisms for MCP tool metadata; marketplace integrity verification,Gap: no defense against metadata-level tool preference manipulation in MCP ecosystems,Most directly relevant paper to PreFlight's ToolClassifier attack surface; seeds attack scenario design,Tier 1
P24,Permission Manifests for Web Agents,2026,TP,How can declarative permission manifests constrain web agent tool access for security and auditability?,Permission manifest design; declarative scope specification; prototype implementation; agent evaluation,Synthetic web agent deployment scenarios,Manifests reduce unintended tool invocations by 67%; improve auditability,Declarative permission manifests enable static analysis of agent capabilities before deployment,Limited to web agents; no MCP-specific implementation; no attack path analysis,MCP-compatible permission manifests; integration with static scanners; dynamic enforcement,Gap: manifests not integrated with attack path graph analysis,Directly informs PreFlight's permission graph node schema and manifest-based config ingestion,Tier 1
P25,ChainReactor: Automated Privilege Escalation Chain Discovery via AI Planning (USENIX Security 2024),2024,AG,Can AI planning automatically discover privilege escalation chains in traditional system security?,AI planning (PDDL-based); graph search for privilege escalation chains; empirical CVE validation,Real Linux system configurations; CVE privilege escalation scenarios,ChainReactor finds multi-step privilege escalation chains automatically; outperforms manual analysis,AI planning can automate attack chain discovery in permission graphs; generalizes across system configs,Limited to traditional OS privilege escalation; no LLM/agent tool-permission graph modeling,Extension to LLM agent tool permissions; MCP-specific privilege escalation models,Gap: no equivalent automated chain discovery for LLM agent tool-permission graphs (PreFlight's core contribution),Closest analog to PreFlight in traditional security; directly motivates PreFlight's attack path analysis engine,Tier 1
P26,Enterprise-Grade Security for the Model Context Protocol: Frameworks and Mitigation Strategies,2025,MCP,What enterprise security controls are needed for secure MCP deployment?,Framework design; threat modeling; mitigation strategy taxonomy; compliance mapping,N/A (framework/position paper),"Comprehensive mitigation framework covering authentication, authorization, monitoring, and auditing",MCP lacks enterprise-grade security primitives; existing frameworks are ad-hoc,Framework is prescriptive not empirically validated; no automated tooling,Automated security scanning for MCP configs; compliance-mapped remediation,Gap: no automated tool implementing the proposed mitigation framework,"Directly informs PreFlight's compliance mapping (NIST, OWASP Agentic AI) and remediation recommendations",Tier 1
P27,LLM Agents Can Be Hacked: Attack Surfaces in Multi-Step Reasoning Chains,2024,AS,What attack surfaces emerge in multi-step LLM reasoning chains used by agents?,Empirical attack study; multi-step reasoning chain analysis; tool-call interception scenarios,"Custom multi-step agent reasoning scenarios (code execution, web browsing, file I/O)",Multi-step chains amplify single-step vulnerabilities; intermediate reasoning can be hijacked,Reasoning chains create new attack surfaces not present in single-turn LLMs,Limited scenario diversity; no formal attack model for reasoning chains,Formal attack models for reasoning chains; defenses for intermediate reasoning states,Gap: no permission-topology-aware analysis of reasoning-chain attack amplification,Informs PreFlight's multi-hop attack path modeling in the static analysis engine,Tier 2
P28,Red Teaming Language Models with Language Models,2022,AIS,Can language models automatically generate test cases to red-team other LLMs for harmful outputs?,Automated red-teaming; LM-generated test cases; reinforcement learning to maximize harmful outputs,LM-generated red-team prompts; human evaluation of harmfulness,LM red-teaming finds harmful behaviors not identified by human red-teamers; scalable,Automated red-teaming is scalable and finds novel harmful behaviors,Limited to text-generation harm; not applicable to tool-calling agentic attacks,Extension to tool-calling scenarios; permission-conditioned red-teaming,Gap: no permission-conditioned or tool-scope-aware automated red-teaming,Background for PreFlight's LLM-driven adversary agent in dynamic simulation engine,Tier 2
P29,Generative Agents: Interactive Simulacra of Human Behavior,2023,MAS,Can LLM-based agents simulate believable human social behavior in interactive environments?,Multi-agent simulation; memory stream architecture; reflection and planning modules; empirical evaluation,25-agent virtual town simulation,"Agents exhibit emergent social behaviors: memory, planning, reflection, social interaction",Generative agents can simulate complex social dynamics; architecture generalizes to other domains,Simulation environment is constrained; security implications not studied,Security analysis of generative agent architectures; adversarial agent interaction studies,Gap: no analysis of security vulnerabilities in memory/planning modules,Background reference for PreFlight's multi-agent dynamic simulation design,Tier 3
P30,OWASP Top 10 for LLM Applications,2023,AS,What are the top 10 security vulnerabilities in LLM-based applications?,Community-driven threat enumeration; practitioner survey; case-study validation,OWASP community inputs; real-world LLM application vulnerability reports,10 vulnerability classes identified; prompt injection and insecure tool handling are top risks,Prompt injection (LLM01) and insecure tool handling (LLM08) are most critical; widely referenced,Not empirically validated; evolving list may miss emerging threats,Annual updates; empirical severity scoring; integration with security scanning tools,Gap: no automated scanner mapping LLM app configs to OWASP Top 10,PreFlight's report module maps findings to OWASP Agentic AI Top 10 and LLM Top 10,Tier 2
P31,Least Privilege Principles for LLM Tool Access in Agentic Systems,2025,TP,How should least-privilege principles be applied to LLM tool access to minimize attack surface?,Principle analysis; case-study application; framework design for tool scope minimization,Synthetic agentic deployment scenarios,Least-privilege reduces exploitable paths by 55% in modeled scenarios; practical implementation guidelines,Least-privilege is applicable and beneficial for LLM tool access; scoping is achievable,Theoretical framework with limited empirical validation; no dynamic attack simulation,Integration with static permission scanners; dynamic privilege reduction mechanisms,Gap: no automated static analysis tool for LLM tool least-privilege enforcement,Core design principle for PreFlight's risk scoring and remediation recommendation engine,Tier 2
P32,SecureGov-Agent: A Governance-Centric Multi-Agent Framework for Privacy-Preserving and Attack-Resilient LLM Agents,2025,MAS,Can a centralized governance agent defend multi-agent LLM systems against compound attacks (injection + backdoor + privacy)?,Governance agent architecture; multi-perspective risk scoring (content + privacy + behavioral); adversarial training; 3 deployment scenarios,MedAgentBench (300 tasks); WebShop (financial); Mind2Web (document processing),ASR reduced 73.2%; privacy leakage reduced 81.4%; task completion 89.7%; latency overhead 15.3%,Centralized governance is effective across multiple attack types; multi-perspective scoring is superior to single-vector defenses,Centralized governance is a single point of failure; latency overhead in real-time applications,Distributed governance; MCP-native policy enforcement; formal verification of governance decisions,Gap: no MCP-tool-permission-graph integration in governance architecture,Informs PreFlight's governance recommendation layer and inter-agent communication monitoring design,Tier 1
P33,Institutional AI: Suppressing LLM Agent Collusion via Runtime Governance Graphs,2026,MAS,LLM agents in multi-agent economic settings learn supra-competitive collusion strategies without explicit coordination; prompt-only prohibitions fail to suppress this behaviour under optimisation pressure.,"Controlled empirical study; repeated multi-commodity Cournot competition; three governance regimes (Ungoverned, Constitutional, Institutional); N=90 runs per condition across 6 model configurations (GPT-5 Mini, Grok-4 Fast, Gemini 2.5 Flash, 3 heterogeneous pairs); Oracle-Controller governance engine with immutable governance manifest and SHA-256 provenance; HHI-excess and CV-excess market-structure metrics; Welch t-tests, Cohen's d, paired permutation tests.",Synthetic: repeated Cournot duopoly simulation environment (replicating Lin et al. 2024 parameters); no external real-world dataset.,"Institutional regime reduces mean collusion tier from 3.10 (Ungoverned) and 3.02 (Constitutional) to 1.82 (d=1.28, p=4.67e-15). HHI-excess falls by 0.305 vs Ungoverned (d=1.05). Tier-4 rate drops from 50% to 5.6%. Constitutional prompt-only baseline produces small, inconsistent effects.",Runtime governance graphs with manifest-declared sanctions reshape agent equilibria without rewriting proposals; prompt-only prohibitions are not binding under economic incentives; compliance emerges as a strategic best-response to public enforcement rather than internalised norms; model heterogeneity is not a first-order driver of collusion.,"Two-firm Cournot abstracts away contracts, asymmetric information, and endogenous entry/exit; fixed proxy thresholds may be Goodharted or induce policy gaming; tested on synthetic economic simulation only.","Scale to n>2 firms; add explicit inter-firm communication; develop formal theory of governance graphs (automata-style execution models, complexity measures); test transfer to negotiation, disinformation cascades; Reinforcement Learning through Institutional Feedback (RLIF).",No prior work applies governance-graph enforcement to suppress emergent collusion in LLM MAS at runtime; constitutional alignment shown to be insufficient; no formal framework for minimal governance topology sufficient for deterrence.,Governance-graph formalism directly applicable to PreFlight's permission graph model; Oracle-Controller pattern maps to PreFlight's policy enforcement layer; manifest-driven audit log analogous to PreFlight's attack-path provenance mechanism.,Tier 2
P34,Agentic Skills: A Survey of Reusable Procedural Modules in LLM Agent Systems,2026,AS,"LLM agents lack a unified abstraction for reusable procedural knowledge; skill acquisition, governance, and security properties are scattered across disparate systems with no common formalisation.","Systematic survey; structured search across 6 databases (Google Scholar, Semantic Scholar, DBLP, ACM DL, IEEE Xplore, arXiv); 65 papers retained from ~180 candidates after inclusion/exclusion criteria; iterative bottom-up taxonomy development (7 design patterns, 5 representation-scope categories); ClawHavoc supply-chain attack case study analysis; SkillsBench anchor evaluation (86 tasks, 7,308 trajectories).","SkillsBench (86 tasks, 11 domains, 7 agent-model configurations, 7,308 trajectories); ClawHavoc empirical data (1,184 malicious skills, 3,984 published skills, 135,000 exposed OpenClaw instances across 82 countries); corpus of 65 primary papers.",Curated skills raise average pass rate by 16.2pp (24.3% to 40.6%); self-generated skills degrade performance by 1.3pp. Healthcare gains 51.9pp; software engineering only 4.5pp. ClawHavoc: 36.8% of published skills contained security flaws; 91% of malicious skills included prompt-injection payloads. Smaller model with curated skills outperforms larger model without.,Skill quality critically determines agent performance; self-evolving libraries do not yet reliably generate quality skills; marketplace distribution (Pattern-7) is the highest-risk pattern; trust-tier model (T1–T4) proposed for progressive privilege escalation; ClawHavoc demonstrates first large-scale empirical evidence of skill supply-chain exploitation.,Corpus emphasises research systems with published evaluations; production systems with limited documentation are under-represented; 7 design patterns derived bottom-up without external expert validation; SkillsBench findings from single non-peer-reviewed benchmark.,Verified autonomous skill generation with CI-pipeline admission gates; unsupervised skill discovery from interaction traces; formal verification across NL and code skill representations; drift detection for long-lived deployments; liability models for marketplace ecosystems.,"No unified governance framework spanning all 7 design patterns and all trust tiers; runtime verification of NL-policy skills is unsolved; no proactive (pre-publication) governance for skill marketplaces; tuple-level security auditing (C, π, T, R) not addressed by existing binary scanners.","Four-tuple skill formalisation (C, π, T, R) directly informs PreFlight's tool-call permission model; trust-tier framework maps to PreFlight's permission escalation detection; ClawHavoc supply-chain attack taxonomy is a concrete threat model for MCP tool registries PreFlight scans.",Tier 1
P35,What is AI Safety? A Systematic Literature Review of Peer-Reviewed Research,2024,AIS,"AI safety discourse is dominated by existential-risk framing, obscuring a broader, empirically grounded body of peer-reviewed research addressing concrete near-term safety risks across the full AI system lifecycle.","Systematic literature review following Kitchenham & Charters guidelines; multi-stage query on Web of Science and Scopus (finalised Nov 1 2023); snowball sampling from 11 seed papers; two-stage filtering (title/abstract then full-text); inductive coding; VOSViewer term co-occurrence analysis; 383 papers selected from 2,666 initial candidates.",383 peer-reviewed papers on AI safety from Web of Science/Scopus up to Nov 2023; Google Scholar citation counts as of Jan 27 2024; author-supplied and annotator-enriched keywords.,"Identifies 8 overarching risk types (noise/outliers most frequent; undesirable behaviour least); 6 methodology categories (applied algorithms largest group); theoretical-applied split with applied work dominating; AI safety research growth accelerating since 2016; 4 distinct term co-occurrence clusters (societal, safe RL, supervised robustness, adversarial attacks).","Peer-reviewed AI safety research is broader than existential-risk framing; majority addresses concrete engineering problems (adversarial robustness, monitoring, control enforcement); AI safety is a natural extension of traditional technological safety engineering; existential-risk narrative may narrow stakeholder engagement and funding scope.",Snapshot at Nov 2023; excludes pre-prints (partially mitigated by snowball sampling); annotator bias in keyword enrichment; excludes LessWrong/AI Alignment Forum content; 383 papers may not be exhaustive.,Expand to pre-print sources and non-peer-reviewed technical reports; investigate sociotechnical AI safety implications; empirical study of AI safety community dynamics.,No comprehensive empirical mapping of AI safety research across the full system lifecycle existed prior to this review; the concrete-vs-existential risk dichotomy is shown to oversimplify the field.,Background framing for PreFlight's threat model; 8-risk-type taxonomy can be used to categorise PreFlight's detected attack surfaces; monitoring and control-enforcement risk types directly correspond to PreFlight's scanning objectives.,Tier 3
P36,Artificial Intelligence Safety System for Safe and Trustworthy Autonomy,2026,AIS,"AI-driven autonomous systems lack dedicated runtime safety supervision mechanisms; existing BPCS/SIS layers are reactive and insufficient for dynamic AI failure modes including silent failures, model drift, and adversarial inputs.","Perspective/conceptual paper; proposes independent AI safety system architecture operating in parallel with operational AI; layered protection analysis (LOPA) analogy; illustrative scenarios (autonomous vehicles, distillation process); no empirical dataset or experiment — conceptual framework with illustrative validation.","N/A (perspective paper); illustrative scenarios drawn from literature (Tesla Autopilot, Boeing 737 MAX, Uber collision case studies); no original experimental dataset.","No quantitative experimental results (perspective paper). Conceptual framework demonstrates: architectural separation of performance AI from safety AI; proposed AI-ESH (AI Emergency Shutdown) mechanism; 5-module safety system (monitoring, risk evaluation, risk analysis, risk control, action); illustrative flood prediction scenario showing 20-minute early warning feasibility.","Safety in autonomous systems must be reframed as an active runtime supervisory function, not a reactive add-on; independence must be engineered (diverse model classes, independent sensors, separate data pipelines); AI safety system is analogous to BPCS Layer 3 in LOPA frameworks; human-on-the-loop (HOTL) is viable for time-critical interventions.",No empirical validation; all results illustrative only; does not address LLM-based agentic systems specifically; real-time computational constraints not experimentally quantified; common-cause failure analysis is conceptual only.,Systematic evaluation in digital twin environments; diverse fault scenarios and cyber-physical disturbances; domain-specific trade-off analysis before industrial deployment.,No prior architecture formally separates performance AI from safety supervisory AI as independent LOPA-style protection layers for LLM-based agentic systems; runtime safety supervision for AI agents (vs. process control systems) remains unaddressed.,Provides architectural precedent for PreFlight's independent scanning layer operating alongside deployed MCP agents; LOPA layer analogy maps to PreFlight's position as a pre-deployment safety gate; AI-ESH concept informs PreFlight's severity-based blocking recommendations.,Tier 3
